,start_location,end_location
275,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
276,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
277,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
278,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
279,"(26579.631128297202, 27753.031234996015)","(26510.302919004433, 27702.500510842277)"
280,"(26510.302919004433, 27702.500510842277)","(26657.472672116128, 27497.300685877766)"
281,"(26657.472672116128, 27497.300685877766)","(26664.288192855296, 27336.06438356251)"
282,"(26664.288192855296, 27336.06438356251)","(26474.123630980248, 27193.221156879008)"
283,"(26474.123630980248, 27193.221156879008)","(26734.088461661493, 26766.92524941769)"
284,"(26734.088461661493, 26766.92524941769)","(26675.463589726656, 26690.106594782817)"
285,"(26675.463589726656, 26690.106594782817)","(26683.06680639014, 26682.319759372884)"
286,"(26683.06680639014, 26682.319759372884)","(26691.022956501314, 26063.007532366115)"
287,"(26691.022956501314, 26063.007532366115)","(26841.918650100473, 26068.40843941181)"
288,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
289,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
290,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
291,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
292,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
293,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
294,"(27197.533931349608, 28129.16232792873)","(27746.879303696187, 27062.23396649558)"
295,"(27746.879303696187, 27062.23396649558)","(27932.529280287243, 27031.552235506155)"
296,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
297,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
298,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
299,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
300,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
301,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
302,"(27197.533931349608, 28129.16232792873)","(27599.66465850103, 27427.457242910255)"
303,"(27599.66465850103, 27427.457242910255)","(27875.747700373846, 27489.186073568737)"
304,"(27875.747700373846, 27489.186073568737)","(27980.252853129845, 27136.69117751575)"
305,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
306,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
307,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
308,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
309,"(26901.08141280667, 28091.46991442822)","(26806.288624367648, 28056.767780172086)"
310,"(26806.288624367648, 28056.767780172086)","(26958.799822935136, 27686.851257230242)"
311,"(26958.799822935136, 27686.851257230242)","(27006.039593327485, 27667.69257428884)"
312,"(27006.039593327485, 27667.69257428884)","(27059.737096961195, 27685.334984218323)"
313,"(27059.737096961195, 27685.334984218323)","(27089.15170452655, 27610.21602148263)"
314,"(27089.15170452655, 27610.21602148263)","(27257.63890756885, 27676.952026521292)"
315,"(27257.63890756885, 27676.952026521292)","(27323.75395051627, 27481.330015974556)"
316,"(27323.75395051627, 27481.330015974556)","(27292.684033135258, 27471.090782039362)"
317,"(27292.684033135258, 27471.090782039362)","(27299.47545332645, 27443.569496725075)"
318,"(27299.47545332645, 27443.569496725075)","(27346.392188088532, 27311.094518991507)"
319,"(27346.392188088532, 27311.094518991507)","(27366.605285502665, 27322.26794228857)"
320,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
321,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
322,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
323,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
324,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
325,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
326,"(27197.533931349608, 28129.16232792873)","(27746.879303696187, 27062.23396649558)"
327,"(27746.879303696187, 27062.23396649558)","(28620.350097187154, 26768.23009543147)"
328,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
329,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
330,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
331,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
332,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
333,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
334,"(27197.533931349608, 28129.16232792873)","(27599.66465850103, 27427.457242910255)"
335,"(27599.66465850103, 27427.457242910255)","(28616.18049504733, 27652.421960399224)"
336,"(28616.18049504733, 27652.421960399224)","(29284.55535340379, 27908.67414114377)"
337,"(29284.55535340379, 27908.67414114377)","(29311.300480820966, 27942.023124732572)"
338,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
339,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
340,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
341,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
342,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
343,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
