,StartStationID,StartStationName,Start Latitude,Start Longitude,EndStationID,EndStationName,End Latitude,End Longitude,distance,duration
502,264.0,"Tysoe Street, Clerkenwell",51.52644342,-0.109256828,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,1692,438
503,265.0,"Southwick Street, Paddington",51.51595344,-0.169249375,428.0,"Exhibition Road, Knightsbridge",51.499917,-0.174554,2154,473
504,268.0,"Belgrave Road, Victoria",51.49320445,-0.144132875,178.0,"Warwick Square, Pimlico",51.48985626,-0.141923621,575,121
505,269.0,"Empire Square, The Borough",51.50082346,-0.089740764,321.0,"Bermondsey Street, Bermondsey",51.49785559,-0.081608045,679,154
506,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,108.0,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,2417,548
507,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,117.0,"Lollard Street, Vauxhall",51.49288067,-0.114934001,1216,243
508,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,144.0,"Kennington Cross, Kennington",51.48894022,-0.111435796,1180,195
509,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,281.0,"Smith Square, Westminster",51.49580589,-0.127575233,1848,453
510,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,387.0,"Fire Brigade Pier, Vauxhall",51.49369988,-0.121394101,1777,578
511,270.0,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,603.0,"Caldwell Street, Stockwell",51.477839,-0.116493,1838,378
512,272.0,"Baylis Road, Waterloo",51.50144456,-0.110699309,91.0,"Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912,916,282
513,272.0,"Baylis Road, Waterloo",51.50144456,-0.110699309,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,1712,489
514,273.0,"Belvedere Road, South Bank",51.50613324,-0.114686385,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,1787,449
515,273.0,"Belvedere Road, South Bank",51.50613324,-0.114686385,273.0,"Belvedere Road, South Bank",51.50613324,-0.114686385,0,0
516,274.0,"Warwick Road, Olympia",51.49671237,-0.20528437,157.0,"Wright's Lane, Kensington",51.50039792,-0.193068385,1004,304
517,276.0,"Lower Thames Street, Monument",51.50930161,-0.084985356,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,2883,765
518,277.0,"Kensington Church Street, Kensington",51.50315739,-0.191496313,333.0,"Palace Gardens Terrace, Notting Hill",51.50860544,-0.193764092,694,146
519,278.0,"Tooley Street, Bermondsey",51.5034938,-0.07962099,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,1118,279
520,278.0,"Tooley Street, Bermondsey",51.5034938,-0.07962099,272.0,"Baylis Road, Waterloo",51.50144456,-0.110699309,2517,660
521,279.0,"North Wharf Road, Paddington",51.51862243,-0.176645823,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,5140,1415
522,281.0,"Smith Square, Westminster",51.49580589,-0.127575233,177.0,"Ashley Place, Victoria",51.49616092,-0.140947636,1477,338
523,281.0,"Smith Square, Westminster",51.49580589,-0.127575233,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,5428,1345
524,286.0,"St. John's Wood Road, St. John's Wood",51.5272947,-0.174653609,760.0,"Rossmore Road, Marylebone",51.52526975,-0.163795009,951,171
525,290.0,"Winsland Street, Paddington",51.51678023,-0.175488803,428.0,"Exhibition Road, Knightsbridge",51.499917,-0.174554,2284,564
526,291.0,"Claverton Street, Pimlico",51.48483991,-0.138089062,166.0,"Seville Street, Knightsbridge",51.50185512,-0.159237081,3271,826
527,293.0,"Kensington Olympia Station, Olympia",51.49815779,-0.209494128,2.0,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,1120,277
528,294.0,"St. George's Square, Pimlico",51.488226,-0.135635511,360.0,"Howick Place, Westminster",51.49675303,-0.138733562,1287,362
529,298.0,"Curlew Street, Shad Thames",51.50227992,-0.074189225,732.0,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,1463,400
530,299.0,"Vincent Square, Westminster",51.49398524,-0.136928582,359.0,"Butler Place, Westminster",51.49782999,-0.135440826,507,245
531,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,191.0,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,1806,326
532,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,0,0
533,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,1455,291
534,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,407.0,"Speakers' Corner 1, Hyde Park",51.512303,-0.159988,2921,599
535,301.0,"Marylebone Lane, Marylebone",51.51475963,-0.148105415,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,3424,860
536,302.0,"Putney Pier, Wandsworth",51.466907,-0.216573,302.0,"Putney Pier, Wandsworth",51.466907,-0.216573,0,0
537,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,111.0,"Park Lane , Hyde Park",51.5100172,-0.157275636,1365,340
538,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,153.0,"Bayswater Road, Hyde Park",51.51183419,-0.174292825,2476,537
539,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,191.0,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,445,71
540,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,1785,326
541,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,300.0,"Serpentine Car Park, Hyde Park",51.50501351,-0.172729559,1386,357
542,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,0,0
543,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,1710,309
544,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,350.0,"Queen's Gate, Kensington Gardens",51.5017154374,-0.179854184389,1491,311
545,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,406.0,"Speakers' Corner 2, Hyde Park",51.51222,-0.160785,1642,323
546,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,407.0,"Speakers' Corner 1, Hyde Park",51.512303,-0.159988,1698,373
547,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,541.0,"Green Park Station, Mayfair",51.506613,-0.142844,1261,286
548,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,762.0,"Storey's Gate, Westminster",51.50070305,-0.129698963,2321,615
549,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,191.0,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,1318,224
550,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,1396,257
551,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,1710,311
552,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,0,0
553,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,407.0,"Speakers' Corner 1, Hyde Park",51.512303,-0.159988,163,94
554,305.0,"Kennington Lane Tesco, Vauxhall",51.48677988,-0.115853961,117.0,"Lollard Street, Vauxhall",51.49288067,-0.114934001,1116,201
555,306.0,"Rathbone Street, Fitzrovia ",51.51816295,-0.135025698,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,2203,581
556,308.0,"Long Lane , Bermondsey",51.49907558,-0.085666316,272.0,"Baylis Road, Waterloo",51.50144456,-0.110699309,2188,596
557,311.0,"Foley Street, Fitzrovia",51.51918144,-0.140485596,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,2359,686
558,311.0,"Foley Street, Fitzrovia",51.51918144,-0.140485596,20.0,"Drummond Street , Euston",51.52773634,-0.135273468,1398,352
559,312.0,"Grove End Road, St. John's Wood",51.53088935,-0.176770502,760.0,"Rossmore Road, Marylebone",51.52526975,-0.163795009,1319,271
560,313.0,"Wells Street, Fitzrovia ",51.51734403,-0.138072691,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,2802,703
561,314.0,"Tyers Gate, Bermondsey",51.50088934,-0.083159352,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,1780,451
562,315.0,"The Tennis Courts, The Regent's Park",51.52536703,-0.153463612,315.0,"The Tennis Courts, The Regent's Park",51.52536703,-0.153463612,0,0
563,316.0,"Cardinal Place, Victoria",51.49768448,-0.141943703,228.0,"St. James's Square, St. James's",51.50742485,-0.134621209,1900,642
564,318.0,"Sackville Street, Mayfair",51.51004801,-0.138846453,341.0,"Craven Street, Strand",51.50810309,-0.12602103,1455,473
565,320.0,"Queen Mother Sports Centre, Victoria",51.49357351,-0.139956043,376.0,"Millbank Tower, Pimlico",51.49188409,-0.125674815,1359,271
566,321.0,"Bermondsey Street, Bermondsey",51.49785559,-0.081608045,125.0,"Borough High Street, The Borough",51.50069491,-0.094524319,1093,299
567,321.0,"Bermondsey Street, Bermondsey",51.49785559,-0.081608045,195.0,"Milroy Walk, South Bank",51.50724437,-0.106237501,2528,640
